,time,temperature,humidity
576,1658857557.3922777,36.5,58.0
577,1658857557.6660986,36.5,58.0
578,1658857557.9409595,36.5,58.0
579,1658857558.2153602,36.5,58.0
580,1658857558.485721,36.5,58.0
581,1658857558.7602148,36.4,58.0
582,1658857559.034534,36.4,58.0
583,1658857559.3048828,36.4,58.0
584,1658857559.5787253,36.4,58.0
585,1658857559.8536892,36.5,58.0
586,1658857560.1279407,36.5,58.0
587,1658857560.3984833,36.4,58.1
588,1658857560.6722236,36.5,58.0
589,1658857560.946429,36.5,58.1
590,1658857561.217614,36.5,58.1
591,1658857561.4912786,36.4,58.1
592,1658857561.766251,36.4,58.2
593,1658857562.0403812,36.4,58.2
594,1658857562.3111784,36.5,58.2
595,1658857562.5856133,36.4,58.2
596,1658857562.8592465,36.4,58.3
597,1658857563.1342616,36.4,58.3
598,1658857563.4047778,36.4,58.3
599,1658857563.6787524,36.4,58.4
600,1658857563.9535863,36.5,58.4
601,1658857564.2280114,36.5,58.4
602,1658857564.4977682,36.4,58.5
603,1658857564.772377,36.4,58.5
604,1658857565.0472243,36.4,58.6
605,1658857565.3170817,36.4,58.6
606,1658857565.5913954,36.4,58.7
607,1658857565.8663337,36.4,58.7
608,1658857566.1403508,36.4,58.7
609,1658857566.4110627,36.5,58.7
610,1658857566.6855092,36.5,58.8
611,1658857566.9591594,36.5,58.9
612,1658857567.234218,36.5,58.9
613,1658857567.5046656,36.4,58.9
614,1658857567.7790902,36.5,58.9
615,1658857568.0535076,36.5,59.0
616,1658857568.327907,36.4,59.0
617,1658857568.5982592,36.5,59.0
618,1658857568.8722205,36.5,59.0
619,1658857569.1470895,36.5,59.0
620,1658857569.421481,36.5,59.0
621,1658857569.6913447,36.5,59.1
622,1658857569.9663875,36.5,59.1
623,1658857570.2406642,36.5,59.1
624,1658857570.514908,36.5,59.1
625,1658857570.7854836,36.5,59.2
626,1658857571.0598295,36.5,59.2
627,1658857571.3335826,36.5,59.2
628,1658857571.6086636,36.5,59.2
629,1658857571.8788805,36.5,59.3
630,1658857572.1533847,36.4,59.3
631,1658857572.427828,36.4,59.3
632,1658857572.6981528,36.5,59.3
633,1658857572.9723768,36.5,59.4
634,1658857573.2469637,36.5,59.4
635,1658857573.5172222,36.5,59.4
636,1658857573.7916741,36.5,59.4
637,1658857574.0661514,36.4,59.4
638,1658857574.34056,36.4,59.4
639,1658857574.6105483,36.5,59.4
640,1658857574.8853915,36.4,59.4
641,1658857575.1588461,36.4,59.4
642,1658857575.4296923,36.4,59.4
643,1658857575.7040904,36.4,59.4
644,1658857575.978933,36.5,59.4
645,1658857576.2533133,36.4,59.4
646,1658857576.5236866,36.5,59.4
647,1658857576.79753,36.5,59.4
648,1658857577.0719125,36.5,59.4
649,1658857577.3427575,36.5,59.4
650,1658857577.617148,36.4,59.4
651,1658857577.8909917,36.4,59.4
652,1658857578.161384,36.4,59.4
653,1658857578.4362261,36.4,59.4
654,1658857578.7100694,36.5,59.4
655,1658857578.9849124,36.5,59.4
656,1658857579.254758,36.4,59.5
657,1658857579.5296006,36.5,59.4
